accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
Q4WZA8,ALB1_ASPFU,Conidial pigment polyketide synthase alb1,alb1,pksP,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),"GO:0005768 (C:endosome); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004014 (F:adenosylmethionine decarboxylase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0140614 (P:1,8-dihydroxynaphthalene-melanin biosynthetic process); GO:0042243 (P:asexual spore wall assembly); GO:0052034 (P:effector-mediated suppression of host pattern-triggered immunity); GO:0006633 (P:fatty acid biosynthetic process); GO:0042438 (P:melanin biosynthetic process); GO:0046148 (P:pigment biosynthetic process); GO:0075136 (P:response to host); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0008295 (P:spermidine biosynthetic process)",2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR016067 (S-AdoMet_deCO2ase_core); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
A0A1L9UCG2,ALBA_ASPBC,Non-reducing polyketide synthase albA,albA,,Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0046148 (P:pigment biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
G3XLL5,ALBA_ASPNA,Non-reducing polyketide synthase albA,albA,,Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0046148 (P:pigment biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
A2QUI2,ALBA_ASPNC,Non-reducing polyketide synthase albA,albA,,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0042438 (P:melanin biosynthetic process); GO:1900787 (P:naphtho-gamma-pyrone biosynthetic process); GO:0043324 (P:pigment metabolic process involved in developmental pigmentation); GO:0019748 (P:secondary metabolic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
Q4VKV0,ALD_METSP,"4,4'-diapolycopene aldehyde oxidase",ald,crtNc,Methylomonas sp,"GO:0016620 (F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor); GO:0006081 (P:aldehyde metabolic process); GO:0016117 (P:carotenoid biosynthetic process)",1.2.99.10,IPR016161 (Ald_DH/histidinol_DH); IPR016163 (Ald_DH_C); IPR029510 (Ald_DH_CS_GLU); IPR016162 (Ald_DH_N); IPR015590 (Aldehyde_DH_dom); IPR012394 (Aldehyde_DH_NAD(P)),PF00171 (Aldedh)
C8VJR7,ALNA_EMENI,Highly reducing polyketide synthase alnA,alnA,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A3G9H990,ALT1_ALTAL,Highly reducing polyketide synthase ALT1,ALT1,,Alternaria alternata (Alternaria rot fungus) (Torula alternata),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF14765 (PS-DH)
Q5KTM9,ALT5_ALTSO,Highly reducing polyketide synthase alt5,alt5,pksN,Alternaria solani,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0032259 (P:methylation); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A097ZPE0,ANDM_EMEVA,Non-reducing polyketide synthase andM,andM,,Emericella variicolor (Aspergillus stellatus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR049492 (BD-FAE-like_dom); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049552 (PKS_DH_N); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF20434 (BD-FAE); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF16073 (SAT)
W6QDA2,ANUA_PENRF,Highly reducing polyketide synthase anuA,anuA,,Penicillium roqueforti (strain FM164),GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013149 (ADH-like_C); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF00107 (ADH_zinc_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF14765 (PS-DH)
Q2TXQ8,AOIG_ASPOR,Non-reducing polyketide synthase aoiG,aoiG,,Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF14765 (PS-DH); PF16073 (SAT); PF00975 (Thioesterase)
P0CU84,APMLA_ARTPE,Highly reducing polyketide synthase apmlA,apmlA,,Arthrinium phaeospermum (Gymnosporium phaeospermum),GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
Q5B0D0,APTA_EMENI,Non-reducing polyketide synthase aptA,aptA,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0036184 (P:asperthecin biosynthetic process); GO:0006633 (P:fatty acid biosynthetic process); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
O14434,ARP1_ASPFU,Scytalone dehydratase arp1,arp1,,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),GO:0005768 (C:endosome); GO:0030411 (F:scytalone dehydratase activity); GO:0048315 (P:conidium formation); GO:0042438 (P:melanin biosynthetic process); GO:0046148 (P:pigment biosynthetic process); GO:0030435 (P:sporulation resulting in formation of a cellular spore),4.2.1.94,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
A0A0B4FAW4,ARP1_METAF,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium anisopliae (strain ARSEF 549),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
E9EHG0,ARP1_METAQ,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium acridum (strain CQMa 102),GO:0016829 (F:lyase activity),4.2.1,IPR023631 (Amidase_dom); IPR036928 (AS_sf); IPR032710 (NTF2-like_dom_sf); IPR049884 (Scytalone_dh),PF01425 (Amidase); PF02982 (Scytalone_dh)
A0A0B4GDU5,ARP1_METBS,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium brunneum (strain ARSEF 3297),GO:0016829 (F:lyase activity),4.2.1,IPR023631 (Amidase_dom); IPR058329 (Arp1_N); IPR036928 (AS_sf); IPR032710 (NTF2-like_dom_sf); IPR049884 (Scytalone_dh),PF01425 (Amidase); PF26053 (Arp1_N); PF02982 (Scytalone_dh)
A0A0B4H2J9,ARP1_METGA,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium guizhouense (strain ARSEF 977),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
A0A0B4HM53,ARP1_METMF,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium majus (strain ARSEF 297),GO:0016829 (F:lyase activity),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
E9ET41,ARP1_METRA,Scytalone dehydratase-like protein Arp1,Arp1,,Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23)),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
G2WZF1,ARP1_VERDV,Scytalone dehydratase VDAG_03393,,,Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1.94,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
E9QUT3,ARP2_ASPFU,Hydroxynaphthalene reductase arp2,arp2,,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),GO:0005768 (C:endosome); GO:0016491 (F:oxidoreductase activity); GO:0047039 (F:tetrahydroxynaphthalene reductase activity); GO:0042438 (P:melanin biosynthetic process); GO:0046148 (P:pigment biosynthetic process),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
A0A0B4GT47,ARP2_METAF,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium anisopliae (strain ARSEF 549),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
E9EHG1,ARP2_METAQ,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium acridum (strain CQMa 102),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
A0A0B4FP77,ARP2_METBS,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium brunneum (strain ARSEF 3297),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
A0A0B4GU97,ARP2_METGA,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium guizhouense (strain ARSEF 977),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
A0A0B4HVU2,ARP2_METMF,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium majus (strain ARSEF 297),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
E9ET40,ARP2_METRA,Hydroxynaphthalene reductase-like protein Arp2,Arp2,,Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23)),GO:0016491 (F:oxidoreductase activity),1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
G2WRK0,ARP2_VERDV,Hydroxynaphthalene reductase,,,Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt),GO:0016491 (F:oxidoreductase activity),1.1.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
G2X086,ARP3_VERDV,Hydroxynaphthalene reductase VDAG_03665,,,Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt),GO:0016491 (F:oxidoreductase activity),1.1.1,IPR036291 (NAD(P)-bd_dom_sf); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
